timestamp	eventType	targetID	reportingID	info	uniqueID	payload
2025-06-26 06:58:02.375282	node_join	0	1	"{""Timestamp"":1750921082375282000,""EventType"":""node_join"",""NodeID"":1,""StartedAt"":1750921082297351000,""LastUp"":1750921082297351000}"	\xaf81cac55c7646ffb9d4c841ef794618	NULL
2025-06-26 06:58:02.776497	set_zone_config	0	1	"{""Timestamp"":1750921082776497000,""EventType"":""set_zone_config"",""Statement"":""ALTER TABLE \""\"".system.span_stats_tenant_boundaries CONFIGURE ZONE USING \""gc.ttlseconds\"" = $1"",""Tag"":""CONFIGURE ZONE"",""User"":""node"",""DescriptorID"":58,""ApplicationName"":""$ internal-set-SpanStatsTenantBoundariesTable-TTL"",""PlaceholderValues"":[""3600""],""Target"":""TABLE system.public.span_stats_tenant_boundaries"",""Options"":[""\""gc.ttlseconds\"" = 3600""],""ResolvedOldConfig"":""range_min_bytes:134217728 range_max_bytes:536870912 gc:<ttl_seconds:14400 > num_replicas:5 inherited_constraints:false null_voter_constraints_is_empty:true inherited_lease_preferences:false ""}"	\x5516ea5ea3174a7d8d3c8ecebc4b2553	NULL
2025-06-26 06:58:03.094855	set_cluster_setting	0	1	"{""Timestamp"":1750921083094855000,""EventType"":""set_cluster_setting"",""Statement"":""SET CLUSTER SETTING \""diagnostics.reporting.enabled\"" = true"",""Tag"":""SET CLUSTER SETTING"",""User"":""node"",""ApplicationName"":""$ internal-optInToDiagnosticsStatReporting"",""SettingName"":""diagnostics.reporting.enabled"",""Value"":""true""}"	\x5c26773e4848486c88a63931738a8075	NULL
2025-06-26 06:58:03.180704	create_database	0	1	"{""Timestamp"":1750921083180704000,""EventType"":""create_database"",""Statement"":""CREATE DATABASE IF NOT EXISTS defaultdb OWNER = root"",""Tag"":""CREATE DATABASE"",""User"":""node"",""DescriptorID"":100,""ApplicationName"":""$ internal-create-default-DB"",""DatabaseName"":""defaultdb""}"	\x1b4ff26e75864058a82331a35dd27190	NULL
2025-06-26 06:58:03.232726	create_database	0	1	"{""Timestamp"":1750921083232726000,""EventType"":""create_database"",""Statement"":""CREATE DATABASE IF NOT EXISTS postgres OWNER = root"",""Tag"":""CREATE DATABASE"",""User"":""node"",""DescriptorID"":102,""ApplicationName"":""$ internal-create-default-DB"",""DatabaseName"":""postgres""}"	\x738f23f9331848c189ddfe61181a1902	NULL
2025-06-26 06:58:03.320789	set_zone_config	0	1	"{""Timestamp"":1750921083320789000,""EventType"":""set_zone_config"",""Statement"":""ALTER TABLE \""\"".system.statement_statistics CONFIGURE ZONE USING \""gc.ttlseconds\"" = $1"",""Tag"":""CONFIGURE ZONE"",""User"":""node"",""DescriptorID"":42,""ApplicationName"":""$ internal-set-SQLStatsTables-TTL"",""PlaceholderValues"":[""3600""],""Target"":""TABLE system.public.statement_statistics"",""Options"":[""\""gc.ttlseconds\"" = 3600""],""ResolvedOldConfig"":""range_min_bytes:134217728 range_max_bytes:536870912 gc:<ttl_seconds:14400 > num_replicas:5 inherited_constraints:false null_voter_constraints_is_empty:true inherited_lease_preferences:false ""}"	\x53895bab9fc74caf8ef423066982fc43	NULL
2025-06-26 06:58:03.330892	set_zone_config	0	1	"{""Timestamp"":1750921083330892000,""EventType"":""set_zone_config"",""Statement"":""ALTER TABLE \""\"".system.transaction_statistics CONFIGURE ZONE USING \""gc.ttlseconds\"" = $1"",""Tag"":""CONFIGURE ZONE"",""User"":""node"",""DescriptorID"":43,""ApplicationName"":""$ internal-set-SQLStatsTables-TTL"",""PlaceholderValues"":[""3600""],""Target"":""TABLE system.public.transaction_statistics"",""Options"":[""\""gc.ttlseconds\"" = 3600""],""ResolvedOldConfig"":""range_min_bytes:134217728 range_max_bytes:536870912 gc:<ttl_seconds:14400 > num_replicas:5 inherited_constraints:false null_voter_constraints_is_empty:true inherited_lease_preferences:false ""}"	\xff9830dfbeb145e8b6422a4866bc8590	NULL
2025-06-26 06:58:03.339841	set_zone_config	0	1	"{""Timestamp"":1750921083339841000,""EventType"":""set_zone_config"",""Statement"":""ALTER TABLE \""\"".system.statement_activity CONFIGURE ZONE USING \""gc.ttlseconds\"" = $1"",""Tag"":""CONFIGURE ZONE"",""User"":""node"",""DescriptorID"":61,""ApplicationName"":""$ internal-set-SQLStatsTables-TTL"",""PlaceholderValues"":[""3600""],""Target"":""TABLE system.public.statement_activity"",""Options"":[""\""gc.ttlseconds\"" = 3600""],""ResolvedOldConfig"":""range_min_bytes:134217728 range_max_bytes:536870912 gc:<ttl_seconds:14400 > num_replicas:5 inherited_constraints:false null_voter_constraints_is_empty:true inherited_lease_preferences:false ""}"	\x4bba09efaaa14eeea4a4728b4b8d0577	NULL
2025-06-26 06:58:03.349963	set_zone_config	0	1	"{""Timestamp"":1750921083349963000,""EventType"":""set_zone_config"",""Statement"":""ALTER TABLE \""\"".system.transaction_activity CONFIGURE ZONE USING \""gc.ttlseconds\"" = $1"",""Tag"":""CONFIGURE ZONE"",""User"":""node"",""DescriptorID"":62,""ApplicationName"":""$ internal-set-SQLStatsTables-TTL"",""PlaceholderValues"":[""3600""],""Target"":""TABLE system.public.transaction_activity"",""Options"":[""\""gc.ttlseconds\"" = 3600""],""ResolvedOldConfig"":""range_min_bytes:134217728 range_max_bytes:536870912 gc:<ttl_seconds:14400 > num_replicas:5 inherited_constraints:false null_voter_constraints_is_empty:true inherited_lease_preferences:false ""}"	\x75178f962cc2479c8a3cceeab215b989	NULL
2025-06-26 06:58:03.522633	set_zone_config	0	1	"{""Timestamp"":1750921083522633000,""EventType"":""set_zone_config"",""Statement"":""ALTER RANGE default CONFIGURE ZONE USING num_replicas = 1"",""Tag"":""CONFIGURE ZONE"",""User"":""node"",""ApplicationName"":""$ internal-set-zone"",""Target"":""RANGE default"",""Options"":[""num_replicas = 1""],""ResolvedOldConfig"":""range_min_bytes:134217728 range_max_bytes:536870912 gc:<ttl_seconds:14400 > num_replicas:3 inherited_constraints:false null_voter_constraints_is_empty:true inherited_lease_preferences:false ""}"	\x1fe8c35266284cf4a359e203c4736dc0	NULL
