txn_id	txn_fingerprint_id	query	implicit_txn	session_id	start_time	end_time	user_name	app_name	rows_read	rows_written	priority	retries	last_retry_reason	contention	problems	causes	stmt_execution_ids	cpu_sql_nanos	last_error_code	last_error_redactable	status
d6ab972d-f84c-42d9-8432-9734f407c484	\x8f43daf5a7127afd	SET statement_timeout = _ ; SELECT id, crdb_internal.pb_to_json(_, config) FROM system.zones	f	18547b231254ca000000000000000001	2025-07-22 05:19:07.305662	2025-07-22 05:19:07.306884	root	$ internal cockroach zip	15	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b237d0960e00000000000000001,18547b237d0ca4d00000000000000001}	337415	NULL		Failed
12537f63-9cb3-4bfc-a4cb-762046a994d7	\x931f741d8b38669a	SET statement_timeout = _ ; TABLE system.tenants	f	18547b231254ca000000000000000001	2025-07-22 05:19:07.304555	2025-07-22 05:19:07.305413	root	$ internal cockroach zip	1	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b237cf89be80000000000000001,18547b237cfc6c780000000000000001}	6792	NULL		Failed
1b5003d4-efba-4abc-90ec-7c26fd46c4d4	\xdbf107abe95b87eb	SET statement_timeout = _ ; TABLE system.tenant_usage	f	18547b231254ca000000000000000001	2025-07-22 05:19:07.284031	2025-07-22 05:19:07.304324	root	$ internal cockroach zip	0	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b237bc00c480000000000000001,18547b237bc354200000000000000001}	9834	NULL		Failed
815b0620-a8ca-4804-b8b6-15fb006911d0	\x75b2f380ca939c9e	SET statement_timeout = _ ; TABLE system.tenant_tasks	f	18547b231254ca000000000000000001	2025-07-22 05:19:07.263407	2025-07-22 05:19:07.283767	root	$ internal cockroach zip	0	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b237a84b5b80000000000000001,18547b237a880d300000000000000001}	5166	NULL		Failed
f8d71ab5-9c33-45e3-b554-07fd1d96049a	\xbff74dabc7431913	SET statement_timeout = _ ; TABLE system.tenant_settings	f	18547b231254ca000000000000000001	2025-07-22 05:19:07.241056	2025-07-22 05:19:07.263205	root	$ internal cockroach zip	0	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b23793058e80000000000000001,18547b23793346e80000000000000001}	7042	NULL		Failed
366c04f0-7241-4896-a009-af7251029724	\x79ac84653ea1431e	SET statement_timeout = _ ; TABLE system.task_payloads	f	18547b231254ca000000000000000001	2025-07-22 05:19:07.216907	2025-07-22 05:19:07.240865	root	$ internal cockroach zip	0	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b2377bfb9b80000000000000001,18547b2377c659080000000000000001}	4749	NULL		Failed
bc96a100-60c5-4245-bc0a-5e9778d39e97	\x6ffb8d8aa32d8755	SET statement_timeout = _ ; TABLE system.table_statistics	f	18547b231254ca000000000000000001	2025-07-22 05:19:07.136934	2025-07-22 05:19:07.216623	root	$ internal cockroach zip	2182	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b2372fb4ff00000000000000001,18547b2373042d780000000000000001}	1376006	NULL		Failed
f325b069-d384-4d97-a047-a96d7f91c8a9	\x57c57d6e0d04967e	SET statement_timeout = _ ; SELECT max(ss.aggregated_ts), ss.fingerprint_id, ss.transaction_fingerprint_id, ss.plan_hash, ss.app_name, ss.agg_interval, merge_stats_metadata(ss.metadata) AS metadata, merge_statement_stats(ss.statistics) AS statistics, ss.plan, ss.index_recommendations FROM system.public.statement_statistics AS ss WHERE (aggregated_ts > (now() - _::INTERVAL)) AND ((transaction_fingerprint_id IN (SELECT DISTINCT (blocking_txn_fingerprint_id) FROM crdb_internal.transaction_contention_events WHERE blocking_txn_fingerprint_id != _ UNION SELECT DISTINCT (waiting_txn_fingerprint_id) FROM crdb_internal.transaction_contention_events WHERE blocking_txn_fingerprint_id != _)) OR (transaction_fingerprint_id IN (SELECT ss_cpu.transaction_fingerprint_id FROM system.public.statement_statistics AS ss_cpu GROUP BY ss_cpu.transaction_fingerprint_id, ss_cpu.cpu_sql_nanos ORDER BY ss_cpu.cpu_sql_nanos DESC LIMIT _))) GROUP BY ss.aggregated_ts, ss.app_name, ss.fingerprint_id, ss.transaction_fingerprint_id, ss.plan_hash, ss.agg_interval, ss.plan, ss.index_recommendations LIMIT _	f	18547b231254ca000000000000000001	2025-07-22 05:19:07.001173	2025-07-22 05:19:07.136679	root	$ internal cockroach zip	32632	0	normal	0	NULL	00:00:00	{FailedExecution,SlowExecution}	{}	{18547b236ae34e580000000000000001,18547b236ae959380000000000000001}	23857438	NULL		Failed
4ee3d550-63f1-4b7e-a09c-6435195589d2	\x9be027768ca8ed66	SET statement_timeout = _ ; TABLE system.statement_diagnostics_requests	f	18547b231254ca000000000000000001	2025-07-22 05:19:07.000116	2025-07-22 05:19:07.001001	root	$ internal cockroach zip	0	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b236ad368080000000000000001,18547b236ad6cf200000000000000001}	6292	NULL		Failed
30fe899d-d3b5-4755-992a-aa25d0a86a57	\x3375ca44cf9c834d	SET statement_timeout = _ ; TABLE system.statement_diagnostics	f	18547b231254ca000000000000000001	2025-07-22 05:19:06.979394	2025-07-22 05:19:06.999931	root	$ internal cockroach zip	0	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b2369970fa80000000000000001,18547b23699a01900000000000000001}	6874	NULL		Failed
e03c39eb-1e4a-49bd-af54-61b9b6e5f9de	\x65b2527cf88ad3ae	SET statement_timeout = _ ; TABLE system.sqlliveness	f	18547b231254ca000000000000000001	2025-07-22 05:19:06.957378	2025-07-22 05:19:06.979221	root	$ internal cockroach zip	1	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b236847a8600000000000000001,18547b23684d3e100000000000000001}	5833	NULL		Failed
12e824b2-949d-449f-9f19-9bde95bde93e	\x675f9bc89ac7818a	SET statement_timeout = _ ; SELECT table_name, aggregated_ts, row_count FROM (SELECT _ AS table_name, aggregated_ts, count(*) AS row_count FROM system.statement_statistics GROUP BY aggregated_ts UNION SELECT _ AS table_name, aggregated_ts, count(*) AS row_count FROM system.transaction_statistics GROUP BY aggregated_ts UNION SELECT _ AS table_name, aggregated_ts, count(*) AS row_count FROM system.statement_activity GROUP BY aggregated_ts UNION SELECT _ AS table_name, aggregated_ts, count(*) AS row_count FROM system.transaction_activity GROUP BY aggregated_ts) ORDER BY table_name, aggregated_ts DESC	f	18547b231254ca000000000000000001	2025-07-22 05:19:06.905305	2025-07-22 05:19:06.957115	root	$ internal cockroach zip	59237	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b23652c9d200000000000000001,18547b2365315fe00000000000000001}	12344407	NULL		Failed
197f7134-cfde-4ee8-9fa0-6ac6b00255a1	\x23fd8237cbb08fc4	SET statement_timeout = _ ; TABLE system.sql_instances	f	18547b231254ca000000000000000001	2025-07-22 05:19:06.904354	2025-07-22 05:19:06.905143	root	$ internal cockroach zip	11	0	normal	0	NULL	00:00:00	{FailedExecution}	{}	{18547b23651df7200000000000000001,18547b236520e9080000000000000001}	10541	NULL		Failed
